id,project_name,sector,cost,benefit,cost_year_1_2,cost_year_3_5
1,Trung tam du lieu quoc gia Hoa Lac,Ha tang,12000,21500,8500,3500
2,Trung tam du lieu quoc gia phia Nam,Ha tang,11500,20800,7500,4000
3,He thong 5G phu song toan quoc,Ha tang,18000,32500,12000,6000
4,He thong dinh danh dien tu VNeID 2.0,Chinh phu so,4500,9200,3500,1000
5,Cong dich vu cong quoc gia v3,Chinh phu so,3200,6800,2500,700
6,Y te so quoc gia,Y te so,5800,11400,4000,1800
7,Giao duc so K-12 toan quoc,Giao duc,6500,12200,4500,2000
8,Trung tam AI quoc gia + supercomputing,AI,15000,28500,9000,6000
9,Sandbox tai chinh so,Tai chinh so,2500,5800,1800,700
10,Logistics thong minh + cang bien so,Logistics,7200,13800,5000,2200
11,Nong nghiep so DBSCL,Nong nghiep,4800,8500,3500,1300
12,Dao tao 50000 ky su AI/ban dan,Nhan luc,8500,16200,5500,3000
13,Khu CN ban dan Bac Ninh - Bac Giang,Ban dan,20000,35000,13000,7000
14,An ninh mang quoc gia SOC,An ninh,3800,7500,2800,1000
15,Open Data + du lieu mo quoc gia,Du lieu,1500,3800,1200,300
